3.20, 1.14, 1.51
3.21, 1.13, 1.51
3.22, 1.12, 1.50
3.23, 1.12, 1.50
3.23, 1.12, 1.50
3.24, 1.12, 1.50
3.25, 1.12, 1.50
3.26, 1.12, 1.51
3.27, 1.13, 1.51
3.28, 1.13, 1.52
3.29, 1.12, 1.52
3.30, 1.13, 1.52
3.31, 1.13, 1.51
3.32, 1.13, 1.52
3.32, 1.13, 1.51
3.33, 1.13, 1.52
3.34, 1.13, 1.51
3.35, 1.13, 1.51
3.36, 1.13, 1.51
3.37, 1.13, 1.51
3.38, 1.13, 1.51
3.39, 1.12, 1.51
3.40, 1.12, 1.51
3.41, 1.13, 1.51
3.41, 1.13, 1.51
3.42, 1.13, 1.51
3.43, 1.13, 1.51
3.44, 1.12, 1.51
3.45, 1.13, 1.51
3.46, 1.12, 1.51
3.47, 1.12, 1.51
3.48, 1.12, 1.50
3.49, 1.12, 1.50
3.50, 1.12, 1.50
3.50, 1.11, 1.49
3.51, 1.11, 1.49
3.52, 1.11, 1.49
3.53, 1.10, 1.48
3.54, 1.10, 1.48
3.55, 1.10, 1.47
3.56, 1.10, 1.46
3.57, 1.08, 1.47
3.58, 1.09, 1.47
3.59, 1.09, 1.46
3.59, 1.09, 1.46
3.60, 1.09, 1.47
3.61, 1.07, 1.46
3.62, 1.09, 1.47
3.63, 1.09, 1.46
3.64, 1.09, 1.47
3.65, 1.09, 1.47
3.66, 1.08, 1.46
3.67, 1.09, 1.46
3.68, 1.09, 1.46
3.68, 1.09, 1.46
3.69, 1.08, 1.46
3.70, 1.08, 1.46
3.71, 1.08, 1.46
3.72, 1.08, 1.46
3.73, 1.08, 1.46
3.74, 1.08, 1.46
3.75, 1.07, 1.45
3.76, 1.08, 1.46
3.77, 1.08, 1.46
3.77, 1.08, 1.46
3.78, 1.08, 1.46
3.79, 1.07, 1.45
3.80, 1.07, 1.46
3.81, 1.07, 1.46
3.82, 1.07, 1.45
3.83, 1.08, 1.45
3.84, 1.07, 1.46
3.85, 1.07, 1.45
3.86, 1.06, 1.44
3.87, 1.06, 1.43
3.87, 1.05, 1.43
3.88, 1.05, 1.44
3.89, 1.05, 1.43
3.90, 1.04, 1.41
3.91, 1.03, 1.41
3.92, 1.03, 1.41
3.93, 1.03, 1.40
3.94, 1.02, 1.40
3.95, 1.02, 1.39
3.96, 1.02, 1.40
3.96, 1.02, 1.40
3.97, 1.02, 1.40
3.98, 1.02, 1.39
3.99, 1.03, 1.40
4.00, 1.03, 1.40
4.01, 1.03, 1.40
4.02, 1.02, 1.40
4.03, 1.02, 1.40
4.04, 1.02, 1.39
4.05, 1.02, 1.39
4.05, 1.01, 1.39
4.06, 1.01, 1.38
4.07, 1.01, 1.38
4.08, 1.01, 1.38
4.09, 1.01, 1.38
4.10, 1.01, 1.38
4.11, 1.01, 1.37
4.12, 1.01, 1.37
4.13, 1.00, 1.37
4.14, 1.00, 1.37
4.14, 1.00, 1.37
4.15, 1.00, 1.37
4.16, 0.99, 1.36
4.17, 0.99, 1.36
4.18, 0.98, 1.36
4.19, 0.98, 1.35
4.20, 0.98, 1.34
4.21, 0.97, 1.34
4.22, 0.97, 1.34
4.23, 0.97, 1.34
4.23, 0.97, 1.34
4.24, 0.97, 1.34
4.25, 0.97, 1.35
4.26, 0.98, 1.34
4.27, 0.98, 1.34
4.28, 0.99, 1.35
4.29, 0.98, 1.35
4.30, 0.98, 1.34
4.31, 0.96, 1.33
4.32, 0.96, 1.33
4.32, 0.97, 1.34
4.33, 0.97, 1.35
4.34, 0.97, 1.34
4.35, 0.96, 1.33
4.36, 0.96, 1.31
4.37, 0.96, 1.32
4.38, 0.95, 1.32
4.39, 0.97, 1.32
4.40, 0.96, 1.32
4.41, 0.95, 1.31
4.41, 0.96, 1.31
4.42, 0.93, 1.31
4.43, 0.95, 1.30
4.44, 0.93, 1.29
4.45, 0.93, 1.30
4.46, 0.94, 1.31
4.47, 0.94, 1.30
4.48, 0.94, 1.30
4.49, 0.94, 1.30
4.50, 0.93, 1.30
4.50, 0.93, 1.29
4.51, 0.93, 1.28
4.52, 0.92, 1.28
4.53, 0.92, 1.28
4.54, 0.92, 1.28
4.55, 0.92, 1.28
4.56, 0.91, 1.28
4.57, 0.91, 1.27
4.58, 0.91, 1.26
4.59, 0.91, 1.27
4.59, 0.92, 1.26
4.60, 0.91, 1.27
4.61, 0.91, 1.26
4.62, 0.91, 1.26
4.63, 0.90, 1.26
4.64, 0.91, 1.26
4.65, 0.90, 1.26
4.66, 0.92, 1.26
4.67, 0.90, 1.26
4.68, 0.90, 1.26
4.68, 0.91, 1.26
4.69, 0.90, 1.25
4.70, 0.91, 1.25
4.71, 0.91, 1.25
4.72, 0.91, 1.26
4.73, 0.91, 1.26
4.74, 0.91, 1.27
4.75, 0.91, 1.26
4.76, 0.90, 1.26
4.77, 0.90, 1.25
4.77, 0.90, 1.26
4.78, 0.90, 1.26
4.79, 0.91, 1.26
4.80, 0.90, 1.25
4.81, 0.90, 1.25
4.82, 0.90, 1.25
4.83, 0.90, 1.25
4.84, 0.90, 1.26
4.85, 0.90, 1.25
4.86, 0.90, 1.25
4.87, 0.90, 1.25
4.87, 0.89, 1.25
4.88, 0.88, 1.24
4.89, 0.88, 1.24
4.90, 0.88, 1.24
4.91, 0.88, 1.23
4.92, 0.88, 1.24
4.93, 0.87, 1.24
4.94, 0.88, 1.24
4.95, 0.88, 1.24
4.96, 0.88, 1.23
4.96, 0.87, 1.22
4.97, 0.87, 1.22
4.98, 0.88, 1.24
4.99, 0.87, 1.23
5.00, 0.87, 1.23
5.01, 0.86, 1.22
5.02, 0.86, 1.22
5.03, 0.86, 1.22
5.04, 0.87, 1.22
5.05, 0.87, 1.22
5.05, 0.87, 1.22
5.06, 0.87, 1.21
5.07, 0.86, 1.21
5.08, 0.86, 1.22
5.09, 0.86, 1.21
5.10, 0.86, 1.21
5.11, 0.86, 1.21
5.12, 0.86, 1.21
5.13, 0.85, 1.21
5.14, 0.85, 1.20
5.14, 0.84, 1.19
5.15, 0.83, 1.19
5.16, 0.84, 1.20
5.17, 0.84, 1.20
5.18, 0.84, 1.19
5.19, 0.84, 1.19
5.20, 0.84, 1.19
5.21, 0.84, 1.19
5.22, 0.84, 1.20
5.23, 0.83, 1.20
5.23, 0.83, 1.19
5.24, 0.85, 1.19
5.25, 0.84, 1.19
5.26, 0.84, 1.19
5.27, 0.84, 1.19
5.28, 0.84, 1.20
5.29, 0.85, 1.20
5.30, 0.85, 1.20
5.31, 0.85, 1.20
5.32, 0.85, 1.21
5.32, 0.85, 1.20
5.33, 0.85, 1.20
5.34, 0.84, 1.19
5.35, 0.83, 1.19
5.36, 0.83, 1.19
5.37, 0.83, 1.19
5.38, 0.83, 1.18
5.39, 0.83, 1.18
5.40, 0.83, 1.18
5.41, 0.82, 1.18
5.41, 0.83, 1.18
5.42, 0.83, 1.18
5.43, 0.82, 1.17
5.44, 0.82, 1.17
5.45, 0.83, 1.17
5.46, 0.82, 1.17
5.47, 0.83, 1.17
5.48, 0.81, 1.16
5.49, 0.82, 1.16
5.50, 0.82, 1.16
5.50, 0.81, 1.17
5.51, 0.79, 1.17
5.52, 0.82, 1.17
5.53, 0.82, 1.17
5.54, 0.82, 1.16
5.55, 0.82, 1.16
5.56, 0.82, 1.16
5.57, 0.82, 1.16
5.58, 0.82, 1.17
5.59, 0.82, 1.16
5.59, 0.82, 1.16
5.60, 0.82, 1.17
5.61, 0.82, 1.18
5.62, 0.82, 1.18
5.63, 0.83, 1.18
5.64, 0.83, 1.18
5.65, 0.83, 1.19
5.66, 0.83, 1.18
5.67, 0.82, 1.18
5.68, 0.82, 1.18
5.68, 0.82, 1.18
5.69, 0.82, 1.17
5.70, 0.82, 1.16
5.71, 0.82, 1.16
5.72, 0.82, 1.16
5.73, 0.82, 1.17
5.74, 0.82, 1.15
5.75, 0.81, 1.15
5.76, 0.82, 1.15
5.77, 0.82, 1.16
5.77, 0.82, 1.17
5.78, 0.82, 1.16
5.79, 0.81, 1.16
5.80, 0.81, 1.16
5.81, 0.82, 1.16
5.82, 0.82, 1.17
5.83, 0.83, 1.17
5.84, 0.82, 1.17
5.85, 0.82, 1.18
5.86, 0.82, 1.17
5.87, 0.82, 1.17
5.87, 0.82, 1.18
5.88, 0.82, 1.16
5.89, 0.82, 1.18
5.90, 0.83, 1.18
5.91, 0.84, 1.18
5.92, 0.83, 1.18
5.93, 0.83, 1.18
5.94, 0.83, 1.18
5.95, 0.83, 1.18
5.96, 0.83, 1.18
5.96, 0.83, 1.18
